Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"SCL","Compte Disponibilités et Utilisations (CDU)","100","Bulgarie","5520","Aliments pour animaux","F1716","Céréales","2017","2017","tonnes","876353","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","100","Bulgarie","5141","Disponibilité alimentaire en quantité (tonnes)","F1716","Céréales","2017","2017","tonnes","837384","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","854","Burkina Faso","5520","Aliments pour animaux","F1716","Céréales","2017","2017","tonnes","553964","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","854","Burkina Faso","5141","Disponibilité alimentaire en quantité (tonnes)","F1716","Céréales","2017","2017","tonnes","3445353","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","108","Burundi","5520","Aliments pour animaux","F1716","Céréales","2017","2017","tonnes","41593","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","108","Burundi","5141","Disponibilité alimentaire en quantité (tonnes)","F1716","Céréales","2017","2017","tonnes","380272","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","132","Cabo Verde","5520","Aliments pour animaux","F1716","Céréales","2017","2017","tonnes","12660","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","132","Cabo Verde","5141","Disponibilité alimentaire en quantité (tonnes)","F1716","Céréales","2017","2017","tonnes","66385","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","116","Cambodge","5520","Aliments pour animaux","F1716","Céréales","2017","2017","tonnes","1137713","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","116","Cambodge","5141","Disponibilité alimentaire en quantité (tonnes)","F1716","Céréales","2017","2017","tonnes","2537206","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","120","Cameroun","5520","Aliments pour animaux","F1716","Céréales","2017","2017","tonnes","1190634","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","120","Cameroun","5141","Disponibilité alimentaire en quantité (tonnes)","F1716","Céréales","2017","2017","tonnes","2730114","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","124","Canada","5520","Aliments pour animaux","F1716","Céréales","2017","2017","tonnes","20620409","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","124","Canada","5141","Disponibilité alimentaire en quantité (tonnes)","F1716","Céréales","2017","2017","tonnes","3127190","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","152","Chili","5520","Aliments pour animaux","F1716","Céréales","2017","2017","tonnes","3539323","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","152","Chili","5141","Disponibilité alimentaire en quantité (tonnes)","F1716","Céréales","2017","2017","tonnes","2167707","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","344","Chine - RAS de Hong-Kong","5520","Aliments pour animaux","F1716","Céréales","2017","2017","tonnes","14507","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","344","Chine - RAS de Hong-Kong","5141","Disponibilité alimentaire en quantité (tonnes)","F1716","Céréales","2017","2017","tonnes","687740","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","446","Chine - RAS de Macao","5520","Aliments pour animaux","F1716","Céréales","2017","2017","tonnes","88","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","446","Chine - RAS de Macao","5141","Disponibilité alimentaire en quantité (tonnes)","F1716","Céréales","2017","2017","tonnes","56906","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","156","Chine, continentale","5520","Aliments pour animaux","F1716","Céréales","2017","2017","tonnes","231996797","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","156","Chine, continentale","5141","Disponibilité alimentaire en quantité (tonnes)","F1716","Céréales","2017","2017","tonnes","227304565","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","158","Chine, Taiwan Province de","5520","Aliments pour animaux","F1716","Céréales","2017","2017","tonnes","4880237","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","158","Chine, Taiwan Province de","5141","Disponibilité alimentaire en quantité (tonnes)","F1716","Céréales","2017","2017","tonnes","2159639","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","196","Chypre","5520","Aliments pour animaux","F1716","Céréales","2017","2017","tonnes","470676","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","196","Chypre","5141","Disponibilité alimentaire en quantité (tonnes)","F1716","Céréales","2017","2017","tonnes","143962","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","170","Colombie","5520","Aliments pour animaux","F1716","Céréales","2017","2017","tonnes","5781073","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","170","Colombie","5141","Disponibilité alimentaire en quantité (tonnes)","F1716","Céréales","2017","2017","tonnes","4203207","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","174","Comores","5520","Aliments pour animaux","F1716","Céréales","2017","2017","tonnes","4460","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","174","Comores","5141","Disponibilité alimentaire en quantité (tonnes)","F1716","Céréales","2017","2017","tonnes","85093","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","178","Congo","5520","Aliments pour animaux","F1716","Céréales","2017","2017","tonnes","44494","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","178","Congo","5141","Disponibilité alimentaire en quantité (tonnes)","F1716","Céréales","2017","2017","tonnes","250072","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","188","Costa Rica","5520","Aliments pour animaux","F1716","Céréales","2017","2017","tonnes","771833","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","188","Costa Rica","5141","Disponibilité alimentaire en quantité (tonnes)","F1716","Céréales","2017","2017","tonnes","433546","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","384","Côte d'Ivoire","5520","Aliments pour animaux","F1716","Céréales","2017","2017","tonnes","674489","I","Valeur imputée"
